origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
ORD,MKE,AA 4972,AAL,OO 4972,SKW,2025-11-24 14:05:00,Arr 1442,2025-11-24,False
PHX,TUS,AA 4973,AAL,OO 4973,SKW,2025-11-24 14:35:00,Arr 1531,2025-11-24,False
TUS,PHX,AA 4973,AAL,OO 4973,SKW,2025-11-24 16:01:00,Arr 1701,2025-11-24,False
GJT,PHX,AA 4974,AAL,OO 4974,SKW,2025-11-24 07:30:00,Arr 0900,2025-11-24,False
DFW,SJT,AA 4975,AAL,OO 4975,SKW,2025-11-24 16:44:00,Arr 1752,2025-11-24,False
SJT,DFW,AA 4975,AAL,OO 4975,SKW,2025-11-24 18:52:00,Arr 1947,2025-11-24,False
FLG,PHX,AA 4979,AAL,OO 4979,SKW,2025-11-24 16:04:00,Arr 1651,2025-11-24,False
PHX,FLG,AA 4979,AAL,OO 4979,SKW,2025-11-24 14:37:00,Arr 1541 (+7min),2025-11-24,False
PVU,DFW,AA 4980,AAL,OO 4980,SKW,2025-11-24 15:32:00,Cancelled,2025-11-24,False
CID,PHX,AA 4981,AAL,OO 4981,SKW,2025-11-24 14:18:00,Arr 1620,2025-11-24,False
PHX,CID,AA 4981,AAL,OO 4981,SKW,2025-11-24 09:35:00,Arr 1335,2025-11-24,False
PHX,CID,AA 4982,AAL,OO 4982,SKW,2025-11-24 14:12:00,Arr 1805,2025-11-24,False
CID,PHX,AA 4983,AAL,OO 4983,SKW,2025-11-24 07:45:00,Arr 1012,2025-11-24,False
PHX,OMA,AA 4987,AAL,OO 4987,SKW,2025-11-24 14:24:00,Arr 1947 (+103min),2025-11-24,False
PHX,PSP,AA 4988,AAL,OO 4988,SKW,2025-11-24 08:44:00,Arr 0852,2025-11-24,False
PSP,PHX,AA 4988,AAL,OO 4988,SKW,2025-11-24 09:59:00,Arr 1157,2025-11-24,False
ORD,LEX,AA 4989,AAL,OO 4989,SKW,2025-11-24 20:41:00,Arr 2329 (+8min),2025-11-24,False
ORD,OKC,AA 4992,AAL,OO 4992,SKW,2025-11-24 21:10:00,Arr 2319,2025-11-24,False
BFL,PHX,AA 4993,AAL,OO 4993,SKW,2025-11-24 09:50:00,Arr 1212,2025-11-24,False
PHX,BFL,AA 4993,AAL,OO 4993,SKW,2025-11-24 08:31:00,Arr 0856,2025-11-24,False
PHX,DRO,AA 4994,AAL,OO 4994,SKW,2025-11-24 17:01:00,Arr 1830 (+8min),2025-11-24,False
PHX,BFL,AA 4995,AAL,OO 4995,SKW,2025-11-24 17:43:00,Arr 1826 (+11min),2025-11-24,False
ORD,RST,AA 4996,AAL,OO 4996,SKW,2025-11-24 16:41:00,Arr 1748,2025-11-24,False
PHX,SMF,AA 4997,AAL,OO 4997,SKW,2025-11-24 14:46:00,Arr 1624 (+27min),2025-11-24,False
HOU,DFW,AA 4998,AAL,OO 4998,SKW,2025-11-24 09:05:00,Arr 1541 (+309min),2025-11-24,False
BPT,DFW,AA 4999,AAL,OO 4999,SKW,2025-11-24 14:35:00,Arr 1705 (+63min),2025-11-24,False
DFW,BPT,AA 4999,AAL,OO 4999,SKW,2025-11-24 12:30:00,Arr 1427 (+22min),2025-11-24,False
ORD,RST,AA 5000,AAL,OO 5000,SKW,2025-11-24 22:33:00,Arr 2332,2025-11-24,False
ORD,LEX,AA 5002,AAL,OO 5002,SKW,2025-11-24 15:59:00,Arr 1808,2025-11-24,False
PHX,SEA,AA 5004,AAL,OO 5004,SKW,2025-11-24 08:15:00,Arr 1041 (+6min),2025-11-24,False
CLE,ORD,AA 5005,AAL,OO 5005,SKW,2025-11-24 14:01:00,Arr 1425,2025-11-24,False
ORD,CLE,AA 5005,AAL,OO 5005,SKW,2025-11-24 11:03:00,Arr 1326,2025-11-24,False
PHX,PSC,AA 5006,AAL,OO 5006,SKW,2025-11-24 19:15:00,Arr 2145 (+39min),2025-11-24,False
PSC,PHX,AA 5007,AAL,OO 5007,SKW,2025-11-24 05:05:00,Arr 0845,2025-11-24,False
LAX,OKC,AA 5008,AAL,OO 5008,SKW,2025-11-24 09:56:00,Arr 1442,2025-11-24,False
OKC,LAX,AA 5008,AAL,OO 5008,SKW,2025-11-24 15:21:00,Arr 1627,2025-11-24,False
ORD,TVC,AA 5009,AAL,OO 5009,SKW,2025-11-24 14:09:00,Arr 1613,2025-11-24,False
TVC,ORD,AA 5009,AAL,OO 5009,SKW,2025-11-24 17:01:00,Arr 1703,2025-11-24,False
CLE,ORD,AA 5010,AAL,OO 5010,SKW,2025-11-24 09:42:00,Arr 1007,2025-11-24,False
ORD,CLE,AA 5010,AAL,OO 5010,SKW,2025-11-24 06:48:00,Arr 0847,2025-11-24,False
LAX,PDX,AA 5011,AAL,OO 5011,SKW,2025-11-24 14:36:00,Arr 1651,2025-11-24,False
PDX,LAX,AA 5011,AAL,OO 5011,SKW,2025-11-24 17:42:00,Arr 2005,2025-11-24,False
RST,ORD,AA 5012,AAL,OO 5012,SKW,2025-11-24 06:37:00,Arr 0747,2025-11-24,False
PHX,SLC,AA 5013,AAL,OO 5013,SKW,2025-11-24 16:25:00,Arr 1852 (+38min),2025-11-24,False
DEN,JLN,UA 5015,UAL,OO 5015,SKW,2025-11-24 14:23:00,Arr 1705,2025-11-24,False
CMX,ORD,UA 5016,UAL,OO 5016,SKW,2025-11-24 08:30:00,Arr 0858,2025-11-24,False
PIB,IAH,UA 5017,UAL,OO 5017,SKW,2025-11-24 10:35:00,Arr 1214,2025-11-24,False
DEN,RIW,UA 5018,UAL,OO 5018,SKW,2025-11-24 21:05:00,Arr 2221,2025-11-24,False
DEN,ATY,UA 5019,UAL,OO 5019,SKW,2025-11-24 14:05:00,Arr 1630,2025-11-24,False
JLN,ORD,UA 5020,UAL,OO 5020,SKW,2025-11-24 07:45:00,Arr 0928,2025-11-24,False
ORD,SUX,UA 5021,UAL,OO 5021,SKW,2025-11-24 21:10:00,Arr 2256,2025-11-24,False
IAD,JST,UA 5022,UAL,OO 5022,SKW,2025-11-24 12:45:00,Arr 1333,2025-11-24,False
DDC,DEN,UA 5023,UAL,OO 5023,SKW,2025-11-24 19:09:00,Arr 1930,2025-11-24,False
CYS,DEN,UA 5024,UAL,OO 5024,SKW,2025-11-24 14:00:00,Arr 1451,2025-11-24,False
MGW,IAD,UA 5025,UAL,OO 5025,SKW,2025-11-24 06:20:00,Arr 0738 (+3min),2025-11-24,False
ORD,JST,UA 5026,UAL,OO 5026,SKW,2025-11-24 21:18:00,Arr 2348,2025-11-24,False
DEC,ORD,UA 5027,UAL,OO 5027,SKW,2025-11-24 09:44:00,Arr 1049,2025-11-24,False
ORD,DEC,UA 5027,UAL,OO 5027,SKW,2025-11-24 07:45:00,Arr 0838,2025-11-24,False
JST,ORD,UA 5029,UAL,OO 5029,SKW,2025-11-24 14:23:00,Arr 1458,2025-11-24,False
DEN,BTM,UA 5030,UAL,OO 5030,SKW,2025-11-24 20:05:00,Arr 2156,2025-11-24,False
DEN,LAR,UA 5031,UAL,OO 5031,SKW,2025-11-24 16:10:00,Arr 1650,2025-11-24,False
SGU,LAX,UA 5032,UAL,OO 5032,SKW,2025-11-24 11:30:00,Arr 1200,2025-11-24,False
LBL,DEN,UA 5033,UAL,OO 5033,SKW,2025-11-24 11:34:00,Arr 1128,2025-11-24,False
DEN,FMN,UA 5034,UAL,OO 5034,SKW,2025-11-24 20:20:00,Arr 2117,2025-11-24,False
DEN,LAR,UA 5035,UAL,OO 5035,SKW,2025-11-24 08:05:00,Arr 1248 (+223min),2025-11-24,False
CYS,DEN,UA 5036,UAL,OO 5036,SKW,2025-11-24 06:00:00,Arr 0647,2025-11-24,False
BTM,DEN,UA 5037,UAL,OO 5037,SKW,2025-11-24 09:47:00,Arr 1141,2025-11-24,False
GCC,DEN,UA 5038,UAL,OO 5038,SKW,2025-11-24 14:15:00,Arr 1523,2025-11-24,False
LBF,DEN,UA 5039,UAL,OO 5039,SKW,2025-11-24 19:25:00,Arr 1924,2025-11-24,False
LBF,DEN,UA 5040,UAL,OO 5040,SKW,2025-11-24 11:14:00,Arr 1121,2025-11-24,False
DEN,COD,UA 5041,UAL,OO 5041,SKW,2025-11-24 11:15:00,Arr 1235,2025-11-24,False
DEN,HYS,UA 5042,UAL,OO 5042,SKW,2025-11-24 16:20:00,Arr 1826,2025-11-24,False
JMS,DEN,UA 5042,UAL,OO 5042,SKW,2025-11-24 11:30:00,Arr 1211,2025-11-24,False
LAF,ORD,UA 5043,UAL,OO 5043,SKW,2025-11-24 06:10:00,Arr 0619 (+2min),2025-11-24,False
ORD,MCW,UA 5043,UAL,OO 5043,SKW,2025-11-24 07:45:00,Arr 0917,2025-11-24,False
FMN,DEN,UA 5044,UAL,OO 5044,SKW,2025-11-24 05:45:00,Arr 0640,2025-11-24,False
BFF,DEN,UA 5045,UAL,OO 5045,SKW,2025-11-24 18:30:00,Arr 1930,2025-11-24,False
JST,IAD,UA 5046,UAL,OO 5046,SKW,2025-11-24 06:15:00,Arr 0842 (+84min),2025-11-24,False
SGU,DEN,UA 5047,UAL,OO 5047,SKW,2025-11-24 17:30:00,Arr 1927 (+2min),2025-11-24,False
