origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
SJC,LAX,AS 3000,ASA,OO 3000,SKW,2025-11-26 08:51:00,Arr 1013,2025-11-26,False
GEG,PDX,AS 3002,ASA,OO 3002,SKW,2025-11-26 15:26:00,Arr 1644,2025-11-26,False
SMF,PDX,AS 3003,ASA,OO 3003,SKW,2025-11-26 12:04:00,Arr 1413 (+26min),2025-11-26,False
SAN,MRY,AS 3005,ASA,OO 3005,SKW,2025-11-26 21:59:00,Arr 2328,2025-11-26,False
PDX,SEA,AS 3008,ASA,OO 3008,SKW,2025-11-26 22:30:00,Arr 2331,2025-11-26,False
SEA,STS,AS 3009,ASA,OO 3009,SKW,2025-11-26 15:39:00,Arr 1732,2025-11-26,False
STS,SEA,AS 3010,ASA,OO 3010,SKW,2025-11-26 20:15:00,Arr 2210,2025-11-26,False
DEN,SAN,AS 3012,ASA,OO 3012,SKW,2025-11-26 06:00:00,Arr 0725,2025-11-26,False
SFO,LAX,AS 3013,ASA,OO 3013,SKW,2025-11-26 22:02:00,Arr 2326,2025-11-26,False
SJC,SAN,AS 3014,ASA,OO 3014,SKW,2025-11-26 17:59:00,Arr 1910,2025-11-26,False
SMF,SAN,AS 3015,ASA,OO 3015,SKW,2025-11-26 10:03:00,Arr 1210 (+23min),2025-11-26,False
PSC,SEA,AS 3016,ASA,OO 3016,SKW,2025-11-26 17:51:00,Arr 1848,2025-11-26,False
SEA,PSC,AS 3016,ASA,OO 3016,SKW,2025-11-26 16:07:00,Arr 1710,2025-11-26,False
SAN,SLC,AS 3017,ASA,OO 3017,SKW,2025-11-26 17:15:00,Arr 2029 (+9min),2025-11-26,False
SLC,SAN,AS 3018,ASA,OO 3018,SKW,2025-11-26 07:20:00,Arr 0817,2025-11-26,False
SLC,SAN,AS 3019,ASA,OO 3019,SKW,2025-11-26 10:40:00,Arr 1133,2025-11-26,False
SAN,DEN,AS 3021,ASA,OO 3021,SKW,2025-11-26 20:33:00,Arr 2342,2025-11-26,False
PDX,PSP,AS 3022,ASA,OO 3022,SKW,2025-11-26 17:32:00,Arr 2012 (+8min),2025-11-26,False
RDM,SEA,AS 3023,ASA,OO 3023,SKW,2025-11-26 18:38:00,Arr 1947,2025-11-26,False
SEA,RDM,AS 3023,ASA,OO 3023,SKW,2025-11-26 16:48:00,Arr 1750,2025-11-26,False
PDX,FAT,AS 3024,ASA,OO 3024,SKW,2025-11-26 18:45:00,Arr 2047 (+7min),2025-11-26,False
BOI,SFO,AS 3025,ASA,OO 3025,SKW,2025-11-26 08:34:00,Arr 0943 (+5min),2025-11-26,False
SEA,IDA,AS 3026,ASA,OO 3026,SKW,2025-11-26 11:44:00,Arr 1419,2025-11-26,False
IDA,SEA,AS 3027,ASA,OO 3027,SKW,2025-11-26 15:14:00,Arr 1636 (+14min),2025-11-26,False
FCA,SEA,AS 3028,ASA,OO 3028,SKW,2025-11-26 14:11:00,Arr 1457 (+1min),2025-11-26,False
DEN,SAN,AS 3029,ASA,OO 3029,SKW,2025-11-26 12:20:00,Arr 1336,2025-11-26,False
SAN,DEN,AS 3029,ASA,OO 3029,SKW,2025-11-26 08:10:00,Arr 1137,2025-11-26,False
LAX,SJC,AS 3030,ASA,OO 3030,SKW,2025-11-26 09:22:00,Arr 1039,2025-11-26,False
EUG,SAN,AS 3031,ASA,OO 3031,SKW,2025-11-26 17:49:00,Arr 2003,2025-11-26,False
SAN,EUG,AS 3031,ASA,OO 3031,SKW,2025-11-26 14:34:00,Arr 1638,2025-11-26,False
GEG,SEA,AS 3035,ASA,OO 3035,SKW,2025-11-26 14:47:00,Arr 1609 (+3min),2025-11-26,False
PDX,SEA,AS 3036,ASA,OO 3036,SKW,2025-11-26 09:30:00,Arr 1056 (+22min),2025-11-26,False
PDX,SEA,AS 3038,ASA,OO 3038,SKW,2025-11-26 10:35:00,Arr 1131,2025-11-26,False
SMF,SEA,AS 3040,ASA,OO 3040,SKW,2025-11-26 12:46:00,Arr 1436,2025-11-26,False
EUG,PDX,AS 3041,ASA,OO 3041,SKW,2025-11-26 15:56:00,Arr 1636,2025-11-26,False
PDX,EUG,AS 3042,ASA,OO 3042,SKW,2025-11-26 14:19:00,Arr 1510,2025-11-26,False
SAN,SJC,AS 3043,ASA,OO 3043,SKW,2025-11-26 16:40:00,Arr 1818 (+1min),2025-11-26,False
PDX,SMF,AS 3044,ASA,OO 3044,SKW,2025-11-26 10:32:00,Arr 1209 (+1min),2025-11-26,False
STS,SAN,AS 3047,ASA,OO 3047,SKW,2025-11-26 19:43:00,Arr 2129,2025-11-26,False
PDX,SEA,AS 3048,ASA,OO 3048,SKW,2025-11-26 14:15:00,Arr 1507,2025-11-26,False
SEA,SMF,AS 3049,ASA,OO 3049,SKW,2025-11-26 07:25:00,Arr 0916,2025-11-26,False
GEG,PDX,AS 3052,ASA,OO 3052,SKW,2025-11-26 08:53:00,Arr 1033 (+12min),2025-11-26,False
PDX,GEG,AS 3052,ASA,OO 3052,SKW,2025-11-26 07:00:00,Arr 0841 (+28min),2025-11-26,False
SMF,PDX,AS 3053,ASA,OO 3053,SKW,2025-11-26 19:35:00,Arr 2115,2025-11-26,False
LAX,MFR,AS 3057,ASA,OO 3057,SKW,2025-11-26 16:37:00,Arr 1827,2025-11-26,False
MFR,LAX,AS 3058,ASA,OO 3058,SKW,2025-11-26 19:24:00,Arr 2121,2025-11-26,False
SEA,HLN,AS 3059,ASA,OO 3059,SKW,2025-11-26 16:07:00,Arr 1852,2025-11-26,False
HLN,SEA,AS 3060,ASA,OO 3060,SKW,2025-11-26 19:32:00,Arr 2021,2025-11-26,False
PSP,STS,AS 3061,ASA,OO 3061,SKW,2025-11-26 17:45:00,Arr 1932,2025-11-26,False
STS,PSP,AS 3062,ASA,OO 3062,SKW,2025-11-26 15:15:00,Arr 1708 (+3min),2025-11-26,False
SFO,BUR,AS 3063,ASA,OO 3063,SKW,2025-11-26 20:37:00,Arr 2159,2025-11-26,False
SAN,SMF,AS 3076,ASA,OO 3076,SKW,2025-11-26 17:10:00,Arr 1840,2025-11-26,False
BUR,SFO,AS 3098,ASA,OO 3098,SKW,2025-11-26 07:00:00,Arr 0812,2025-11-26,False
SFO,BUR,AS 3099,ASA,OO 3099,SKW,2025-11-26 17:46:00,Arr 1912 (+4min),2025-11-26,False
BUR,SFO,AS 3100,ASA,OO 3100,SKW,2025-11-26 19:45:00,Arr 2109,2025-11-26,False
BUR,PSC,AS 3101,ASA,OO 3101,SKW,2025-11-26 08:30:00,Arr 1058,2025-11-26,False
PSC,BUR,AS 3102,ASA,OO 3102,SKW,2025-11-26 11:48:00,Arr 1401,2025-11-26,False
SEA,GEG,AS 3204,ASA,OO 3204,SKW,2025-11-26 12:53:00,Arr 1404,2025-11-26,False
STS,SNA,AS 3205,ASA,OO 3205,SKW,2025-11-26 16:14:00,Arr 1750,2025-11-26,False
STS,BUR,AS 3207,ASA,OO 3207,SKW,2025-11-26 19:40:00,Arr 2100,2025-11-26,False
BOI,GEG,AS 3208,ASA,OO 3208,SKW,2025-11-26 14:29:00,Arr 1447 (+1min),2025-11-26,False
LAX,EUG,AS 3209,ASA,OO 3209,SKW,2025-11-26 10:30:00,Arr 1238,2025-11-26,False
