origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
DTW,SFO,UA 2866,UAL,UA 2866,UAL,2025-11-01 17:35:00,Arr 1919,2025-11-01,False
ORD,BNA,UA 2865,UAL,UA 2865,UAL,2025-11-01 17:52:00,Arr 1940 (+7min),2025-11-01,False
DEN,ORD,UA 2865,UAL,UA 2865,UAL,2025-11-01 11:15:00,Arr 1455 (+7min),2025-11-01,False
IAH,CLT,UA 2864,UAL,UA 2864,UAL,2025-11-01 18:05:00,Arr 2136,2025-11-01,False
SAN,SFO,UA 2863,UAL,UA 2863,UAL,2025-11-01 07:58:00,Arr 0930,2025-11-01,False
SFO,TPA,UA 2862,UAL,UA 2862,UAL,2025-11-01 21:30:00,Arr 0521 (+49min),2025-11-01,False
IAD,SFO,UA 2862,UAL,UA 2862,UAL,2025-11-01 15:25:00,Arr 1751,2025-11-01,False
SFO,SAN,UA 2861,UAL,UA 2861,UAL,2025-11-01 22:35:00,Arr 0117 (+124min),2025-11-01,False
SFO,LAX,UA 2860,UAL,UA 2860,UAL,2025-11-01 17:45:00,Arr 1903,2025-11-01,False
DEN,EGE,UA 2859,UAL,UA 2859,UAL,2025-11-01 19:40:00,Arr 2028,2025-11-01,False
PHX,IAH,UA 2858,UAL,UA 2858,UAL,2025-11-01 08:25:00,Arr 1326 (+29min),2025-11-01,False
FSD,ORD,UA 2857,UAL,UA 2857,UAL,2025-11-01 08:00:00,Arr 0940,2025-11-01,False
EWR,DFW,UA 2856,UAL,UA 2856,UAL,2025-11-01 19:35:00,Arr 2214,2025-11-01,False
SFO,IAH,UA 2855,UAL,UA 2855,UAL,2025-11-01 14:59:00,Arr 2048,2025-11-01,False
SFO,BNA,UA 2854,UAL,UA 2854,UAL,2025-11-01 23:00:00,Arr 0436 (+23min),2025-11-01,False
BUR,SFO,UA 2854,UAL,UA 2854,UAL,2025-11-01 20:18:00,Arr 2209 (+19min),2025-11-01,False
SAT,DEN,UA 2853,UAL,UA 2853,UAL,2025-11-01 08:35:00,Arr 1017 (+22min),2025-11-01,False
IAD,DEN,UA 2852,UAL,UA 2852,UAL,2025-11-01 15:59:00,Arr 1725,2025-11-01,False
