origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
SJC,LAX,AS 3000,ASA,OO 3000,SKW,2025-11-27 08:51:00,Arr 1005,2025-11-27,False
SMF,PDX,AS 3003,ASA,OO 3003,SKW,2025-11-27 12:04:00,Arr 1343,2025-11-27,False
SAN,MRY,AS 3004,ASA,OO 3004,SKW,2025-11-27 12:41:00,Arr 1347,2025-11-27,False
PDX,PSP,AS 3011,ASA,OO 3011,SKW,2025-11-27 14:42:00,Arr 1704,2025-11-27,False
DEN,SAN,AS 3012,ASA,OO 3012,SKW,2025-11-27 06:00:00,Arr 0742 (+8min),2025-11-27,False
SMF,SAN,AS 3015,ASA,OO 3015,SKW,2025-11-27 10:15:00,Arr 1209 (+10min),2025-11-27,False
SLC,SAN,AS 3019,ASA,OO 3019,SKW,2025-11-27 10:40:00,Arr 1134,2025-11-27,False
SAN,DEN,AS 3020,ASA,OO 3020,SKW,2025-11-27 12:40:00,Arr 1604,2025-11-27,False
LAS,SAN,AS 3028,ASA,OO 3028,SKW,2025-11-27 14:56:00,Arr 1600,2025-11-27,False
SAN,LAS,AS 3028,ASA,OO 3028,SKW,2025-11-27 12:42:00,Arr 1407,2025-11-27,False
LAX,SJC,AS 3030,ASA,OO 3030,SKW,2025-11-27 09:22:00,Arr 1032,2025-11-27,False
PDX,SEA,AS 3036,ASA,OO 3036,SKW,2025-11-27 09:30:00,Arr 1044 (+10min),2025-11-27,False
PDX,FAT,AS 3037,ASA,OO 3037,SKW,2025-11-27 14:30:00,Arr 1619,2025-11-27,False
PDX,SEA,AS 3038,ASA,OO 3038,SKW,2025-11-27 10:35:00,Arr 1141 (+1min),2025-11-27,False
EUG,SAN,AS 3039,ASA,OO 3039,SKW,2025-11-27 12:00:00,Arr 1415,2025-11-27,False
SAN,EUG,AS 3039,ASA,OO 3039,SKW,2025-11-27 08:10:00,Arr 1039,2025-11-27,False
SMF,SEA,AS 3040,ASA,OO 3040,SKW,2025-11-27 12:46:00,Arr 1426,2025-11-27,False
PDX,EUG,AS 3042,ASA,OO 3042,SKW,2025-11-27 14:30:00,Arr 1506,2025-11-27,False
PDX,SMF,AS 3044,ASA,OO 3044,SKW,2025-11-27 10:32:00,Arr 1156,2025-11-27,False
SEA,SMF,AS 3049,ASA,OO 3049,SKW,2025-11-27 07:35:00,Arr 0959 (+21min),2025-11-27,False
STS,SNA,AS 3050,ASA,OO 3050,SKW,2025-11-27 14:27:00,Arr 1548,2025-11-27,False
GEG,PDX,AS 3052,ASA,OO 3052,SKW,2025-11-27 08:53:00,Arr 1003,2025-11-27,False
PDX,GEG,AS 3052,ASA,OO 3052,SKW,2025-11-27 07:00:00,Arr 0751,2025-11-27,False
SEA,PSP,AS 3054,ASA,OO 3054,SKW,2025-11-27 15:56:00,Arr 1832,2025-11-27,False
SNA,SFO,AS 3056,ASA,OO 3056,SKW,2025-11-27 13:48:00,Arr 1452,2025-11-27,False
BUR,SFO,AS 3098,ASA,OO 3098,SKW,2025-11-27 07:00:00,Arr 0759,2025-11-27,False
SFO,BUR,AS 3099,ASA,OO 3099,SKW,2025-11-27 17:46:00,Arr 1836,2025-11-27,False
GEG,SEA,AS 3215,ASA,OO 3215,SKW,2025-11-27 11:41:00,Arr 1247,2025-11-27,False
SEA,GEG,AS 3215,ASA,OO 3215,SKW,2025-11-27 09:50:00,Arr 1041,2025-11-27,False
SFO,SNA,AS 3216,ASA,OO 3216,SKW,2025-11-27 14:19:00,Arr 1540,2025-11-27,False
SAN,LAS,AS 3218,ASA,OO 3218,SKW,2025-11-27 17:00:00,Arr 1806,2025-11-27,False
STS,LAX,AS 3247,ASA,OO 3247,SKW,2025-11-27 13:36:00,Arr 1519 (+2min),2025-11-27,False
SNA,SFO,AS 3249,ASA,OO 3249,SKW,2025-11-27 07:59:00,Arr 0948 (+8min),2025-11-27,False
SFO,LAX,AS 3250,ASA,OO 3250,SKW,2025-11-27 09:08:00,Arr 1042,2025-11-27,False
PHX,SFO,AS 3261,ASA,OO 3261,SKW,2025-11-27 14:01:00,Arr 1451,2025-11-27,False
SFO,PHX,AS 3262,ASA,OO 3262,SKW,2025-11-27 10:18:00,Arr 1313,2025-11-27,False
BUR,BOI,AS 3283,ASA,OO 3283,SKW,2025-11-27 16:32:00,Arr 1918,2025-11-27,False
PSP,SEA,AS 3284,ASA,OO 3284,SKW,2025-11-27 07:27:00,Arr 1005,2025-11-27,False
BUR,STS,AS 3288,ASA,OO 3288,SKW,2025-11-27 10:49:00,Arr 1237 (+3min),2025-11-27,False
SFO,BUR,AS 3290,ASA,OO 3290,SKW,2025-11-27 08:46:00,Arr 0953,2025-11-27,False
AUS,SAN,AS 3293,ASA,OO 3293,SKW,2025-11-27 06:00:00,Arr 0711,2025-11-27,False
BLI,SEA,AS 3294,ASA,OO 3294,SKW,2025-11-27 13:16:00,Arr 1352,2025-11-27,False
SBP,SAN,AS 3295,ASA,OO 3295,SKW,2025-11-27 11:03:00,Arr 1205,2025-11-27,False
SEA,SLC,AS 3299,ASA,OO 3299,SKW,2025-11-27 15:55:00,Arr 1853,2025-11-27,False
SAN,AUS,AS 3300,ASA,OO 3300,SKW,2025-11-27 09:10:00,Arr 1407,2025-11-27,False
PSC,LAX,AS 3304,ASA,OO 3304,SKW,2025-11-27 07:00:00,Arr 0952 (+4min),2025-11-27,False
LAX,PSC,AS 3305,ASA,OO 3305,SKW,2025-11-27 15:59:00,Arr 1831,2025-11-27,False
SJC,PDX,AS 3313,ASA,OO 3313,SKW,2025-11-27 11:49:00,Arr 1322,2025-11-27,False
STS,SAN,AS 3315,ASA,OO 3315,SKW,2025-11-27 06:35:00,Cancelled,2025-11-27,False
LAS,SAN,AS 3320,ASA,OO 3320,SKW,2025-11-27 07:15:00,Arr 0816,2025-11-27,False
BUR,SFO,AS 3333,ASA,OO 3333,SKW,2025-11-27 12:52:00,Arr 1355,2025-11-27,False
SEA,FAT,AS 3342,ASA,OO 3342,SKW,2025-11-27 15:50:00,Arr 1740,2025-11-27,False
SLC,SEA,AS 3344,ASA,OO 3344,SKW,2025-11-27 07:14:00,Arr 0820,2025-11-27,False
FAT,SEA,AS 3345,ASA,OO 3345,SKW,2025-11-27 08:04:00,Arr 1037,2025-11-27,False
SAN,SFO,AS 3352,ASA,OO 3352,SKW,2025-11-27 12:30:00,Arr 1349,2025-11-27,False
PDX,SLC,AS 3355,ASA,OO 3355,SKW,2025-11-27 07:06:00,Arr 0954,2025-11-27,False
SFO,PSP,AS 3356,ASA,OO 3356,SKW,2025-11-27 15:00:00,Arr 1626,2025-11-27,False
LAX,LAS,AS 3358,ASA,OO 3358,SKW,2025-11-27 12:28:00,Arr 1357 (+10min),2025-11-27,False
SAN,SJC,AS 3359,ASA,OO 3359,SKW,2025-11-27 08:06:00,Arr 0917,2025-11-27,False
SJC,LAX,AS 3363,ASA,OO 3363,SKW,2025-11-27 06:15:00,Arr 0734,2025-11-27,False
STS,LAX,AS 3366,ASA,OO 3366,SKW,2025-11-27 07:40:00,Cancelled,2025-11-27,False
SAN,SMF,AS 3368,ASA,OO 3368,SKW,2025-11-27 09:25:00,Arr 1121 (+2min),2025-11-27,False
PSP,PDX,AS 3370,ASA,OO 3370,SKW,2025-11-27 07:05:00,Arr 0918,2025-11-27,False
TUS,PDX,AS 3373,ASA,OO 3373,SKW,2025-11-27 07:32:00,Arr 0945,2025-11-27,False
PDX,TUS,AS 3374,ASA,OO 3374,SKW,2025-11-27 11:06:00,Arr 1438,2025-11-27,False
LAX,STS,AS 3377,ASA,OO 3377,SKW,2025-11-27 08:19:00,Arr 0947,2025-11-27,False
PDX,SJC,AS 3379,ASA,OO 3379,SKW,2025-11-27 14:35:00,Arr 1619,2025-11-27,False
MRY,SAN,AS 3384,ASA,OO 3384,SKW,2025-11-27 11:18:00,Arr 1257 (+12min),2025-11-27,False
