origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
HKG,ICN,ZE 862,ESR,ZE 862,ESR,2026-04-03 00:05:00,Dep 00:07,2026-04-03,False
HKG,CDG,CX 261,CPA,CX 261,CPA,2026-04-03 00:05:00,Dep 01:08,2026-04-03,False
HKG,LAX,CX 880,CPA,CX 880,CPA,2026-04-03 00:05:00,Dep 00:36,2026-04-03,False
HKG,LAX,MH 9190,MAS,CX 880,CPA,2026-04-03 00:05:00,Dep 00:36,2026-04-03,False
HKG,LAX,LA 6094,LAN,CX 880,CPA,2026-04-03 00:05:00,Dep 00:36,2026-04-03,False
HKG,LAX,OM 5880,MGL,CX 880,CPA,2026-04-03 00:05:00,Dep 00:36,2026-04-03,False
HKG,LAX,AA 8933,AAL,CX 880,CPA,2026-04-03 00:05:00,Dep 00:36,2026-04-03,False
HKG,DXB,EK 381,UAE,EK 381,UAE,2026-04-03 00:05:00,Dep 00:08,2026-04-03,False
HKG,DXB,TP 6349,TAP,EK 381,UAE,2026-04-03 00:05:00,Dep 00:08,2026-04-03,False
HKG,BNE,CX 165,CPA,CX 165,CPA,2026-04-03 00:15:00,Dep 00:17,2026-04-03,False
HKG,BNE,AY 5099,FIN,CX 165,CPA,2026-04-03 00:15:00,Dep 00:17,2026-04-03,False
HKG,BNE,OM 5671,MGL,CX 165,CPA,2026-04-03 00:15:00,Dep 00:17,2026-04-03,False
HKG,BNE,JL 7923,JAL,CX 165,CPA,2026-04-03 00:15:00,Dep 00:17,2026-04-03,False
HKG,BNE,LH 7003,DLH,CX 165,CPA,2026-04-03 00:15:00,Dep 00:17,2026-04-03,False
HKG,BNE,BA 4143,BAW,CX 165,CPA,2026-04-03 00:15:00,Dep 00:17,2026-04-03,False
HKG,MEL,CX 105,CPA,CX 105,CPA,2026-04-03 00:20:00,Dep 00:32,2026-04-03,False
HKG,MEL,AY 5095,FIN,CX 105,CPA,2026-04-03 00:20:00,Dep 00:32,2026-04-03,False
HKG,MEL,OM 5605,MGL,CX 105,CPA,2026-04-03 00:20:00,Dep 00:32,2026-04-03,False
HKG,MEL,BA 4567,BAW,CX 105,CPA,2026-04-03 00:20:00,Dep 00:32,2026-04-03,False
HKG,ADD,ET 645,ETH,ET 645,ETH,2026-04-03 00:25:00,Dep 00:54,2026-04-03,False
HKG,ZRH,CX 383,CPA,CX 383,CPA,2026-04-03 00:25:00,Dep 00:40,2026-04-03,False
HKG,ICN,7C 6014,JJA,7C 6014,JJA,2026-04-03 00:35:00,Dep 00:44,2026-04-03,False
HKG,ICN,H1 9933,HHN,7C 6014,JJA,2026-04-03 00:35:00,Dep 00:44,2026-04-03,False
HKG,SYD,CX 181,CPA,CX 181,CPA,2026-04-03 00:45:00,Dep 00:54,2026-04-03,False
HKG,SYD,AY 5093,FIN,CX 181,CPA,2026-04-03 00:45:00,Dep 00:54,2026-04-03,False
HKG,SYD,OM 5627,MGL,CX 181,CPA,2026-04-03 00:45:00,Dep 00:54,2026-04-03,False
HKG,SYD,BA 4131,BAW,CX 181,CPA,2026-04-03 00:45:00,Dep 00:54,2026-04-03,False
HKG,MAD,CX 315,CPA,CX 315,CPA,2026-04-03 00:45:00,Dep 00:51,2026-04-03,False
HKG,ICN,KE 2012,KAL,KE 2012,KAL,2026-04-03 00:45:00,Dep 00:43,2026-04-03,False
HKG,ICN,DL 7774,DAL,KE 2012,KAL,2026-04-03 00:45:00,Dep 00:43,2026-04-03,False
HKG,ICN,VS 5516,VIR,KE 2012,KAL,2026-04-03 00:45:00,Dep 00:43,2026-04-03,False
HKG,ICN,WS 6036,WJA,KE 2012,KAL,2026-04-03 00:45:00,Dep 00:43,2026-04-03,False
HKG,YVR,CX 888,CPA,CX 888,CPA,2026-04-03 00:45:00,Dep 00:52,2026-04-03,False
HKG,MXP,CX 233,CPA,CX 233,CPA,2026-04-03 00:50:00,Dep 01:01,2026-04-03,False
HKG,ICN,UO 616,HKE,UO 616,HKE,2026-04-03 00:50:00,Dep 00:42,2026-04-03,False
HKG,ICN,CX 5616,CPA,UO 616,HKE,2026-04-03 00:50:00,Dep 00:42,2026-04-03,False
HKG,NRT,GK 028,JJP,GK 028,JJP,2026-04-03 00:55:00,Dep 01:33,2026-04-03,False
HKG,MAN,CX 259,CPA,CX 259,CPA,2026-04-03 00:55:00,Dep 01:03,2026-04-03,False
HKG,KIX,MM 068,APJ,MM 068,APJ,2026-04-03 00:55:00,Dep 02:09,2026-04-03,False
HKG,JNB,CX 749,CPA,CX 749,CPA,2026-04-03 01:05:00,Dep 01:06,2026-04-03,False
HKG,JNB,LA 5632,LAN,CX 749,CPA,2026-04-03 01:05:00,Dep 01:06,2026-04-03,False
HKG,JNB,JL 7901,JAL,CX 749,CPA,2026-04-03 01:05:00,Dep 01:06,2026-04-03,False
HKG,SFO,CX 872,CPA,CX 872,CPA,2026-04-03 01:10:00,Dep 01:15,2026-04-03,False
HKG,SFO,MH 9198,MAS,CX 872,CPA,2026-04-03 01:10:00,Dep 01:15,2026-04-03,False
HKG,SFO,OM 5872,MGL,CX 872,CPA,2026-04-03 01:10:00,Dep 01:15,2026-04-03,False
HKG,SFO,AA 8930,AAL,CX 872,CPA,2026-04-03 01:10:00,Dep 01:15,2026-04-03,False
HKG,CAN,CX 950,CPA,CX 950,CPA,2026-04-03 01:15:00,Dep 01:26,2026-04-03,False
HKG,NRT,UO 854,HKE,UO 854,HKE,2026-04-03 01:15:00,Dep 01:13,2026-04-03,False
HKG,NRT,CX 524,CPA,CX 524,CPA,2026-04-03 01:20:00,Dep 01:59,2026-04-03,False
HKG,NRT,QR 5844,QTR,CX 524,CPA,2026-04-03 01:20:00,Dep 01:59,2026-04-03,False
HKG,NRT,JL 7040,JAL,CX 524,CPA,2026-04-03 01:20:00,Dep 01:59,2026-04-03,False
HKG,NRT,AA 8884,AAL,CX 524,CPA,2026-04-03 01:20:00,Dep 01:59,2026-04-03,False
HKG,ICN,BX 3945,ABL,BX 3945,ABL,2026-04-03 01:25:00,Dep 01:27,2026-04-03,False
HKG,ICN,OZ 746,AAR,OZ 746,AAR,2026-04-03 01:40:00,Dep 01:35,2026-04-03,False
HKG,ICN,HX 1566,CRK,OZ 746,AAR,2026-04-03 01:40:00,Dep 01:35,2026-04-03,False
HKG,MNL,HB 231,HGB,HB 231,HGB,2026-04-03 01:40:00,Dep 01:43,2026-04-03,False
HKG,SIN,CX 659,CPA,CX 659,CPA,2026-04-03 01:45:00,Dep 02:10,2026-04-03,False
HKG,SIN,QR 3459,QTR,CX 659,CPA,2026-04-03 01:45:00,Dep 02:10,2026-04-03,False
HKG,SIN,AY 5133,FIN,CX 659,CPA,2026-04-03 01:45:00,Dep 02:10,2026-04-03,False
HKG,SIN,OM 5613,MGL,CX 659,CPA,2026-04-03 01:45:00,Dep 02:10,2026-04-03,False
HKG,KIX,CX 566,CPA,CX 566,CPA,2026-04-03 01:55:00,Dep 02:01,2026-04-03,False
HKG,KIX,QR 5838,QTR,CX 566,CPA,2026-04-03 01:55:00,Dep 02:01,2026-04-03,False
HKG,KIX,JL 7050,JAL,CX 566,CPA,2026-04-03 01:55:00,Dep 02:01,2026-04-03,False
HKG,CJU,LJ 714,JNA,LJ 714,JNA,2026-04-03 02:00:00,Dep 02:14,2026-04-03,False
HKG,DPS,HX 707,CRK,HX 707,CRK,2026-04-03 02:00:00,Dep 02:05,2026-04-03,False
HKG,DPS,GA 9771,GIA,HX 707,CRK,2026-04-03 02:00:00,Dep 02:05,2026-04-03,False
HKG,ZRH,CX 2383,CPA,CX 2383,CPA,2026-04-03 02:00:00,Dep 02:15,2026-04-03,False
HKG,TAE,UO 656,HKE,UO 656,HKE,2026-04-03 02:10:00,Dep 02:09,2026-04-03,False
HKG,TAE,CX 5656,CPA,UO 656,HKE,2026-04-03 02:10:00,Dep 02:09,2026-04-03,False
HKG,ILO,5J 243,CEB,5J 243,CEB,2026-04-03 02:20:00,Dep 02:19,2026-04-03,False
HKG,JFK,CX 844,CPA,CX 844,CPA,2026-04-03 02:25:00,Dep 02:28,2026-04-03,False
