origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
HKG,HND,NH 814,ANA,NH 814,ANA,2026-01-02 00:05:00,Dep 00:13,2026-01-02,False
HKG,ICN,TW 644,TWB,TW 644,TWB,2026-01-02 00:05:00,Dep 00:09,2026-01-02,False
HKG,CDG,CX 261,CPA,CX 261,CPA,2026-01-02 00:25:00,Dep 00:28,2026-01-02,False
HKG,FRA,CX 289,CPA,CX 289,CPA,2026-01-02 00:25:00,Dep 00:31,2026-01-02,False
HKG,FRA,LH 7015,DLH,CX 289,CPA,2026-01-02 00:25:00,Dep 00:31,2026-01-02,False
HKG,DOH,QR 815,QTR,QR 815,QTR,2026-01-02 00:25:00,Dep 00:22,2026-01-02,False
HKG,DOH,CX 9201,CPA,QR 815,QTR,2026-01-02 00:25:00,Dep 00:22,2026-01-02,False
HKG,DOH,LA 7419,LAN,QR 815,QTR,2026-01-02 00:25:00,Dep 00:22,2026-01-02,False
HKG,DOH,B6 6587,JBU,QR 815,QTR,2026-01-02 00:25:00,Dep 00:22,2026-01-02,False
HKG,DOH,BA 2328,BAW,QR 815,QTR,2026-01-02 00:25:00,Dep 00:22,2026-01-02,False
HKG,DOH,JU 8317,ASL,QR 815,QTR,2026-01-02 00:25:00,Dep 00:22,2026-01-02,False
HKG,DOH,IB 6245,IBE,QR 815,QTR,2026-01-02 00:25:00,Dep 00:22,2026-01-02,False
HKG,MEL,CX 105,CPA,CX 105,CPA,2026-01-02 00:30:00,Dep 00:40,2026-01-02,False
HKG,MEL,AY 5095,FIN,CX 105,CPA,2026-01-02 00:30:00,Dep 00:40,2026-01-02,False
HKG,MEL,BA 4567,BAW,CX 105,CPA,2026-01-02 00:30:00,Dep 00:40,2026-01-02,False
HKG,MEL,OM 5605,MGL,CX 105,CPA,2026-01-02 00:30:00,Dep 00:40,2026-01-02,False
HKG,JNB,CX 749,CPA,CX 749,CPA,2026-01-02 00:30:00,Dep 01:09,2026-01-02,False
HKG,JNB,LA 5632,LAN,CX 749,CPA,2026-01-02 00:30:00,Dep 01:09,2026-01-02,False
HKG,JNB,JL 7901,JAL,CX 749,CPA,2026-01-02 00:30:00,Dep 01:09,2026-01-02,False
HKG,LAX,CX 880,CPA,CX 880,CPA,2026-01-02 00:30:00,Dep 00:24,2026-01-02,False
HKG,LAX,MH 9190,MAS,CX 880,CPA,2026-01-02 00:30:00,Dep 00:24,2026-01-02,False
HKG,LAX,LA 6094,LAN,CX 880,CPA,2026-01-02 00:30:00,Dep 00:24,2026-01-02,False
HKG,LAX,OM 5880,MGL,CX 880,CPA,2026-01-02 00:30:00,Dep 00:24,2026-01-02,False
HKG,LAX,AA 8933,AAL,CX 880,CPA,2026-01-02 00:30:00,Dep 00:24,2026-01-02,False
HKG,DXB,EK 381,UAE,EK 381,UAE,2026-01-02 00:35:00,Dep 00:28,2026-01-02,False
HKG,DXB,TP 6349,TAP,EK 381,UAE,2026-01-02 00:35:00,Dep 00:28,2026-01-02,False
HKG,ICN,OZ 746,AAR,OZ 746,AAR,2026-01-02 00:40:00,Dep 00:33,2026-01-02,False
HKG,ICN,HX 1566,CRK,OZ 746,AAR,2026-01-02 00:40:00,Dep 00:33,2026-01-02,False
