origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
SDF,HKG,5X 064,UPS,5X 064,UPS,2025-12-05 16:15:00,Cancelled,2025-12-05,True
SDK,HKG,WW 108,KXP,WW 108,KXP,2025-12-05 16:35:00,At gate 18:12,2025-12-05,True
SIN,HKG,SQ 7860,SIA,SQ 7860,SIA,2025-12-05 16:35:00,At gate 15:54,2025-12-05,True
SHJ,HKG,MB 300,MNB,MB 300,MNB,2025-12-05 16:45:00,At gate 16:20,2025-12-05,True
RUH,HKG,SV 976,SVA,SV 976,SVA,2025-12-05 16:50:00,At gate 16:27,2025-12-05,True
ICN,HKG,FX 5991,FDX,FX 5991,FDX,2025-12-05 16:55:00,At gate 17:35,2025-12-05,True
KUL,HKG,MH 6104,MAS,MH 6104,MAS,2025-12-05 17:10:00,Cancelled,2025-12-05,True
TPE,HKG,CI 6843,CAL,CI 6843,CAL,2025-12-05 17:20:00,At gate 17:55,2025-12-05,True
TLV,HKG,K4 701,CKS,K4 701,CKS,2025-12-05 17:30:00,At gate 07:59 (07/12/2025),2025-12-05,True
DOH,HKG,QR 8356,QTR,QR 8356,QTR,2025-12-05 17:30:00,At gate 18:01,2025-12-05,True
DWC,HKG,EK 9880,UAE,EK 9880,UAE,2025-12-05 17:35:00,At gate 11:11 (06/12/2025),2025-12-05,True
BKI,HKG,AK 8545,AXM,AK 8545,AXM,2025-12-05 18:00:00,At gate 18:54,2025-12-05,True
SIN,HKG,SQ 7954,SIA,SQ 7954,SIA,2025-12-05 18:05:00,At gate 17:50,2025-12-05,True
SHJ,HKG,MB 6564,MNB,MB 6564,MNB,2025-12-05 18:10:00,At gate 02:42 (06/12/2025),2025-12-05,True
LUX,HKG,CV 4164,CLX,CV 4164,CLX,2025-12-05 18:15:00,At gate 09:42 (06/12/2025),2025-12-05,True
SYD,HKG,QR 8578,QTR,QR 8578,QTR,2025-12-05 18:35:00,At gate 19:47,2025-12-05,True
RUH,HKG,SV 982,SVA,SV 982,SVA,2025-12-05 20:00:00,At gate 19:43,2025-12-05,True
KCH,HKG,AK 8534,AXM,AK 8534,AXM,2025-12-05 20:35:00,At gate 20:26,2025-12-05,True
CVG,HKG,K4 252,CKS,K4 252,CKS,2025-12-05 21:40:00,At gate 12:35 (06/12/2025),2025-12-05,True
PDX,HKG,CX 3287,CPA,CX 3287,CPA,2025-12-05 21:45:00,At gate 00:05 (06/12/2025),2025-12-05,True
MIA,HKG,5Y 8680,GTI,5Y 8680,GTI,2025-12-05 22:05:00,At gate 22:48,2025-12-05,True
SYD,HKG,QF 7525,QFA,QF 7525,QFA,2025-12-05 22:20:00,At gate 22:25,2025-12-05,True
DOH,HKG,QR 8428,QTR,QR 8428,QTR,2025-12-05 22:20:00,At gate 00:08 (06/12/2025),2025-12-05,True
GYD,HKG,7L 246,AZG,7L 246,AZG,2025-12-05 22:30:00,At gate 00:30 (06/12/2025),2025-12-05,True
EMA,HKG,D0 528,DHK,D0 528,DHK,2025-12-05 22:45:00,At gate 22:27,2025-12-05,True
