origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
HKG,HND,NH 814,ANA,NH 814,ANA,2026-02-15 00:05:00,Dep 23:59 (14/02/2026),2026-02-15,False
HKG,ICN,TW 644,TWB,TW 644,TWB,2026-02-15 00:05:00,Dep 23:56 (14/02/2026),2026-02-15,False
HKG,LHR,CX 237,CPA,CX 237,CPA,2026-02-15 00:25:00,Dep 00:32,2026-02-15,False
HKG,CDG,CX 261,CPA,CX 261,CPA,2026-02-15 00:25:00,Dep 00:30,2026-02-15,False
HKG,FRA,CX 289,CPA,CX 289,CPA,2026-02-15 00:25:00,Dep 00:30,2026-02-15,False
HKG,FRA,LH 7015,DLH,CX 289,CPA,2026-02-15 00:25:00,Dep 00:30,2026-02-15,False
HKG,DOH,QR 815,QTR,QR 815,QTR,2026-02-15 00:25:00,Dep 00:25,2026-02-15,False
HKG,DOH,CX 9201,CPA,QR 815,QTR,2026-02-15 00:25:00,Dep 00:25,2026-02-15,False
HKG,DOH,LA 7419,LAN,QR 815,QTR,2026-02-15 00:25:00,Dep 00:25,2026-02-15,False
HKG,DOH,B6 6587,JBU,QR 815,QTR,2026-02-15 00:25:00,Dep 00:25,2026-02-15,False
HKG,DOH,BA 2328,BAW,QR 815,QTR,2026-02-15 00:25:00,Dep 00:25,2026-02-15,False
HKG,DOH,JU 8317,ASL,QR 815,QTR,2026-02-15 00:25:00,Dep 00:25,2026-02-15,False
HKG,DOH,IB 6245,IBE,QR 815,QTR,2026-02-15 00:25:00,Dep 00:25,2026-02-15,False
HKG,MEL,CX 105,CPA,CX 105,CPA,2026-02-15 00:30:00,Dep 00:40,2026-02-15,False
HKG,MEL,AY 5095,FIN,CX 105,CPA,2026-02-15 00:30:00,Dep 00:40,2026-02-15,False
HKG,MEL,BA 4567,BAW,CX 105,CPA,2026-02-15 00:30:00,Dep 00:40,2026-02-15,False
HKG,MEL,OM 5605,MGL,CX 105,CPA,2026-02-15 00:30:00,Dep 00:40,2026-02-15,False
HKG,JNB,CX 749,CPA,CX 749,CPA,2026-02-15 00:30:00,Dep 00:44,2026-02-15,False
HKG,JNB,JL 7901,JAL,CX 749,CPA,2026-02-15 00:30:00,Dep 00:44,2026-02-15,False
HKG,LAX,CX 880,CPA,CX 880,CPA,2026-02-15 00:30:00,Dep 00:45,2026-02-15,False
HKG,LAX,MH 9190,MAS,CX 880,CPA,2026-02-15 00:30:00,Dep 00:45,2026-02-15,False
HKG,LAX,LA 6094,LAN,CX 880,CPA,2026-02-15 00:30:00,Dep 00:45,2026-02-15,False
HKG,LAX,OM 5880,MGL,CX 880,CPA,2026-02-15 00:30:00,Dep 00:45,2026-02-15,False
HKG,LAX,AA 8933,AAL,CX 880,CPA,2026-02-15 00:30:00,Dep 00:45,2026-02-15,False
HKG,DXB,EK 381,UAE,EK 381,UAE,2026-02-15 00:35:00,Dep 00:36,2026-02-15,False
HKG,DXB,TP 6349,TAP,EK 381,UAE,2026-02-15 00:35:00,Dep 00:36,2026-02-15,False
HKG,ICN,OZ 746,AAR,OZ 746,AAR,2026-02-15 00:40:00,Dep 00:50,2026-02-15,False
HKG,ICN,HX 1566,CRK,OZ 746,AAR,2026-02-15 00:40:00,Dep 00:50,2026-02-15,False
HKG,MAD,CX 315,CPA,CX 315,CPA,2026-02-15 00:40:00,Dep 00:47,2026-02-15,False
HKG,ZRH,CX 383,CPA,CX 383,CPA,2026-02-15 00:45:00,Dep 01:25,2026-02-15,False
HKG,ZRH,LX 9515,SWR,CX 383,CPA,2026-02-15 00:45:00,Dep 01:25,2026-02-15,False
HKG,MXP,CX 233,CPA,CX 233,CPA,2026-02-15 00:55:00,Dep 01:03,2026-02-15,False
HKG,ICN,KE 2012,KAL,KE 2012,KAL,2026-02-15 00:55:00,Dep 01:10,2026-02-15,False
HKG,ICN,WS 6036,WJA,KE 2012,KAL,2026-02-15 00:55:00,Dep 01:10,2026-02-15,False
HKG,ICN,DL 7774,DAL,KE 2012,KAL,2026-02-15 00:55:00,Dep 01:10,2026-02-15,False
HKG,ICN,VS 5516,VIR,KE 2012,KAL,2026-02-15 00:55:00,Dep 01:10,2026-02-15,False
HKG,MAN,CX 219,CPA,CX 219,CPA,2026-02-15 01:00:00,Dep 01:03,2026-02-15,False
HKG,SFO,CX 872,CPA,CX 872,CPA,2026-02-15 01:00:00,Dep 01:07,2026-02-15,False
HKG,SFO,MH 9198,MAS,CX 872,CPA,2026-02-15 01:00:00,Dep 01:07,2026-02-15,False
HKG,SFO,OM 5872,MGL,CX 872,CPA,2026-02-15 01:00:00,Dep 01:07,2026-02-15,False
HKG,SFO,AA 8930,AAL,CX 872,CPA,2026-02-15 01:00:00,Dep 01:07,2026-02-15,False
HKG,YVR,CX 888,CPA,CX 888,CPA,2026-02-15 01:00:00,Dep 01:19,2026-02-15,False
HKG,SYX,HX 163,CRK,HX 163,CRK,2026-02-15 01:10:00,Dep 01:13,2026-02-15,False
HKG,CAN,CX 950,CPA,CX 950,CPA,2026-02-15 01:15:00,Dep 01:34,2026-02-15,False
HKG,NRT,CX 524,CPA,CX 524,CPA,2026-02-15 01:25:00,Dep 01:19,2026-02-15,False
HKG,NRT,JL 7040,JAL,CX 524,CPA,2026-02-15 01:25:00,Dep 01:19,2026-02-15,False
HKG,NRT,QR 5844,QTR,CX 524,CPA,2026-02-15 01:25:00,Dep 01:19,2026-02-15,False
HKG,NRT,AA 8884,AAL,CX 524,CPA,2026-02-15 01:25:00,Dep 01:19,2026-02-15,False
HKG,MNL,HB 233,HGB,HB 233,HGB,2026-02-15 01:35:00,Dep 01:36,2026-02-15,False
HKG,SIN,CX 659,CPA,CX 659,CPA,2026-02-15 01:40:00,Dep 01:44,2026-02-15,False
HKG,SIN,AY 5133,FIN,CX 659,CPA,2026-02-15 01:40:00,Dep 01:44,2026-02-15,False
HKG,SIN,QR 3459,QTR,CX 659,CPA,2026-02-15 01:40:00,Dep 01:44,2026-02-15,False
HKG,SIN,OM 5613,MGL,CX 659,CPA,2026-02-15 01:40:00,Dep 01:44,2026-02-15,False
HKG,SIN,FJ 5472,FJI,CX 659,CPA,2026-02-15 01:40:00,Dep 01:44,2026-02-15,False
HKG,KIX,MM 068,APJ,MM 068,APJ,2026-02-15 01:45:00,Dep 01:42,2026-02-15,False
HKG,KIX,CX 566,CPA,CX 566,CPA,2026-02-15 01:50:00,Dep 01:53,2026-02-15,False
HKG,KIX,JL 7050,JAL,CX 566,CPA,2026-02-15 01:50:00,Dep 01:53,2026-02-15,False
HKG,KIX,QR 5838,QTR,CX 566,CPA,2026-02-15 01:50:00,Dep 01:53,2026-02-15,False
HKG,DPS,HX 707,CRK,HX 707,CRK,2026-02-15 01:55:00,Dep 01:48,2026-02-15,False
HKG,DPS,GA 9771,GIA,HX 707,CRK,2026-02-15 01:55:00,Dep 01:48,2026-02-15,False
HKG,NRT,GK 028,JJP,GK 028,JJP,2026-02-15 02:00:00,Dep 02:12,2026-02-15,False
HKG,NRT,HX 606,CRK,HX 606,CRK,2026-02-15 02:00:00,Dep 02:00,2026-02-15,False
HKG,NRT,TK 9204,THY,HX 606,CRK,2026-02-15 02:00:00,Dep 02:00,2026-02-15,False
HKG,NRT,UO 854,HKE,UO 854,HKE,2026-02-15 02:00:00,Dep 02:21,2026-02-15,False
HKG,PUS,TW 640,TWB,TW 640,TWB,2026-02-15 02:10:00,Dep 01:58,2026-02-15,False
HKG,ILO,5J 243,CEB,5J 243,CEB,2026-02-15 02:20:00,Dep 02:16,2026-02-15,False
HKG,TAE,TW 642,TWB,TW 642,TWB,2026-02-15 02:40:00,Dep 02:35,2026-02-15,False
HKG,KIX,HX 616,CRK,HX 616,CRK,2026-02-15 02:45:00,Dep 02:43,2026-02-15,False
HKG,KIX,TK 9211,THY,HX 616,CRK,2026-02-15 02:45:00,Dep 02:43,2026-02-15,False
HKG,KIX,EY 6810,ETD,HX 616,CRK,2026-02-15 02:45:00,Dep 02:43,2026-02-15,False
HKG,CJU,UO 676,HKE,UO 676,HKE,2026-02-15 02:45:00,Dep 03:00,2026-02-15,False
HKG,CJU,CX 5676,CPA,UO 676,HKE,2026-02-15 02:45:00,Dep 03:00,2026-02-15,False
HKG,FUK,HB 2366,HGB,HB 2366,HGB,2026-02-15 03:00:00,Dep 03:07,2026-02-15,False
HKG,JFK,CX 844,CPA,CX 844,CPA,2026-02-15 03:25:00,Dep 03:40,2026-02-15,False
HKG,JFK,MH 9210,MAS,CX 844,CPA,2026-02-15 03:25:00,Dep 03:40,2026-02-15,False
HKG,JFK,LA 5631,LAN,CX 844,CPA,2026-02-15 03:25:00,Dep 03:40,2026-02-15,False
