origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
KIX,HKG,UO 689,HKE,UO 689,HKE,2026-02-28 00:05:00,At gate 23:46 (27/02/2026),2026-02-28,False
PVG,HKG,MU 725,CES,MU 725,CES,2026-02-28 00:15:00,At gate 23:53 (27/02/2026),2026-02-28,False
PVG,HKG,FM 3029,CSH,MU 725,CES,2026-02-28 00:15:00,At gate 23:53 (27/02/2026),2026-02-28,False
SIN,HKG,CX 2074,CPA,CX 2074,CPA,2026-02-28 00:05:00,At gate 23:46 (27/02/2026),2026-02-28,True
HAN,HKG,RH 318,HKC,RH 318,HKC,2026-02-28 00:15:00,At gate 23:46 (27/02/2026),2026-02-28,True
IST,HKG,TK 6028,THY,TK 6028,THY,2026-02-28 00:20:00,At gate 23:54 (27/02/2026),2026-02-28,True
